,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
15,እርግጥ,ድምዳሜ,ቢሮ,አይን,አለ,ድምጽ,ሰማ,ተገኘ,አመነ,ቸገረ,,,,,,,,,,,,,,,,,,
16,እኛ,ቀን,ቀረ,,,,,,,,,,,,,,,,,,,,,,,,,
17,ጸጋ,ተቃውሞ,ጀመረ,ኦሮሚያ,ሶስት,ፓርቲ,ጥምር,መንግስት,መረረ,ህዝብ,ፍቃድ,ውጪ,አለ,,,,,,,,,,,,,,,
18,ሳቅ,ፈገግታ,,,,,,,,,,,,,,,,,,,,,,,,,,
19,እናት,አስቀመጠ,አነሳ,አቀፈ,ቃመ,ያቺ,ቀን,cnj,እውስ,አል,አስቀመጠ,ላሰ,አለ,ቻለ,,,,,,,,,,,,,,
20,ግልጽ,ጥያቄ,,,,,,,,,,,,,,,,,,,,,,,,,,
21,cnj,ገረመ,አማራ,ተማረ,ሴት,አማራ,ተማረ,ኦሮሚያ,ደፈረ,ተማሪ,ደፈረ,ሞተ,አንድ,ሰው,አለመ,,,,,,,,,,,,,
22,ድርግ,በረታ,cnj,እስዎ,ትልቅ,ቅሬታ,አለ,እምነት,ተቋም,ጥቃት,ደረሰ,ሞራል,ውድቀት,አል,አማራ,ተማረ,ሞራል,ውድቀት,አለ,ነበረ,አማራ,መረጠ,ነው,,,,,
23,ጠንካራ,ስራ,ህይወት,ተሸነፈ,ምሳሌ,ተስፋ,ቈረጠ,መሪነት,ደሴት,ሆነ,በላ,አህመድ,አሊ,በርታ,እኛ,ተከተለ,,,,,,,,,,,,
24,ልጅ,አደገ,ፈለገ,ወላጅ,ገረመ,,,,,,,,,,,,,,,,,,,,,,,
25,ነፍጠኛ,አስተሳሰብ,ጨፈለቀ,ዘረፈ,ገደለ,ሆነ,ተቃጠለ,ነፍጠኛ,አለ,ግብ,ደረሰ,ቅጥል,ቀጠለ,ጨፈረ,በደለ,ኰነነ,,,,,,,,,,,,
26,ምን,ፈራ,ድንቅ,ትምህርት,አገልጋይ,ዮናታን,አክሊል,,,,,,,,,,,,,,,,,,,,,
27,ሀዋሳ,ህዝባዊ,ስብሰባ,ጀመረ,,,,,,,,,,,,,,,,,,,,,,,,
28,መሀሪ,ታደሰ,በላ,ሄደ,ስም,ተገኘ,,,,,,,,,,,,,,,,,,,,,,
29,ቫይረስ,አለም,ቀፈፈ,ጤና,ስጋት,አለ,ጤና,ድርጅት,ዳይሬክተር,አድሀኖም,ሰጠ,ገለጠ,ቫይረስ,ደረጃ,ቻይና,ሀገር,ሰፋ,አለ,ፍጥነት,,,,,,,,,
30,ነው,አል,መልሰው,ደገመ,intrj,መሮ,ትግራይ,ላላ,ሀሳብ,መቃ,ቻለ,ትግራይ,ሄደ,ተቃወመ,ናስ,ፈለገ,ሄደ,ቻለ,አንድነት,ምን,,,,,,,,
31,አንተ,ሰከረ,ውሻ,ታየ,,,,,,,,,,,,,,,,,,,,,,,,
32,ህይወት,ኖረ,ድንግል,ሆነ,አንድ,ወንድ,ንብ,ለም,ወንድ,ንብ,ድንግል,አንዴ,ድርግ,,,,,,,,,,,,,,,
33,ፈጠረ,ስህተት,ይቅርታ,ጠየቀ,ተመሰገነ,ሄደ,,,,,,,,,,,,,,,,,,,,,,
34,በላ,ወያኔ,ኢትዮጵያ,ለፋ,እውቀት,ሰላ,ኤርሚያስ,አሰረ,ገለጸ,ማንነት,ገለጠ,ባረከ,አንተ,ጠየቀ,,,,,,,,,,,,,,
35,ራስ,በደለ,ራስ,ክልል,ግልጽ,አቋም,አየ,ሞጣ,ክልል,ሙስሊም,ከፋ,ጭቆና,አመራ,ተገኘ,ተባለ,,,,,,,,,,,,,
36,ይቅርታ,cnj,ምን,አወቀ,አለ,ወለጋ,ጮኸ,,,,,,,,,,,,,,,,,,,,,
37,ሀገር,ተከላከለ,ግብ,ማን,,,,,,,,,,,,,,,,,,,,,,,,
38,ጠየቀ,intrj,ሀሬ,,,,,,,,,,,,,,,,,,,,,,,,,
39,አለ,አለ,ሰማ,ዜጋ,ኰራ,ወንድ,አለም,,,,,,,,,,,,,,,,,,,,,
40,ኦሮሞ,አባት,ከበረ,ኖረ,ግድ,,,,,,,,,,,,,,,,,,,,,,,
41,ለየ,ቦታ,በአል,ገበያ,ምርት,ጥረት,ዋጋ,ውድነት,ብሶት,ጐለተ,መጣ,ዘይት,ዱቄት,ጥረት,ብዛት,ፈለገ,ድጎማ,መጣ,ዘይት,ዱቄት,,,,,,,,
42,ብልጽግና,ፓርቲ,ህገወጥ,አለ,ፓርቲ,ብልጽግና,አዲ,መሰረተ,ህገወጥ,ጥገኛ,ፓርቲ,ገለጸ,,,,,,,,,,,,,,,,
43,አማራ,ክልል,መንግስት,ተሻለ,ገለጠ,ሰጠ,ጠበቀ,ገባ,ለበሰ,በር,ተቀመጠ,አባት,ተሻለ,ፖለቲካ,አመራር,ብቃት,አለ,እድር,ማህበር,,,,,,,,,
44,ሰሞን,አዲ,አበባ,ቤት,ገዛ,ደላላ,አናገረ,ጠየቀ,ጥያቄ,ቻለ,ቀድሞ,cnj,ታከለ,ካርታ,ታከለ,ካርታ,ከተማ,አጠረ,ከንቲባ,ትእዛዝ,ካርታ,ሰጠ,ተደረገ,አር,ቦታ,,,
45,አበረ,ደረሰ,,,,,,,,,,,,,,,,,,,,,,,,,,
46,ፍርሀት,ብዙ,ሞት,እጦት,ኖረ,ማን,ሞት,ገንዘብ,ንዋይ,ፈቀደ,አሰቃቂ,ቀን,እርስ,መጣ,ደስታ,ተቀበለ,ሰው,እጅ,ሰቀቀ,ዘገምተኛ,ሞት,ተሰቃየ,,,,,,
47,ክልል,ግንኙነት,ረቂቅ,አዋጅ,ውይ*,አንድ,ክልል,ወከለ,ተገኘ,,,,,,,,,,,,,,,,,,,
48,ነገደ,ቢሮ,ተባበረ,ሚኒስቴር,ደረሰ,ተዘጋጀ,ጎንደር,ከተማ,ምስራቅ,ጎጃም,ዞን,ተገኘ,እውቅ,,,,,,,,,,,,,,,
49,ዘንድሮ,ዞረ,ፒዛ,ገነጠለ,ወንድ,ዶሮ,ገነጠለ,አወቀ,,,,,,,,,,,,,,,,,,,,
50,ተአምር,ተባለ,አወቀ,ኢትዮጵያ,ሰፈፈ,ተአምር,ኢትዮጵያ,ልቅ,አፍ,መሀል,ልዩነት,እንዳለ,አወቀ,ተቋቋመ,ህክምና,ቀየረ,ድርግ,,,,,,,,,,,
51,አጼ,በላ,ተከላከለ,ሰራዊት,ኦሮሚያ,ልዩ,ፖሊስ,መረቀ,ወጣት,ወለጋ,ዘመተ,ኦሮሞ,ኦሮሞ,ገደለ,አየ,ከፋ,አውሬነት,ለም,እባብ,ወለደ,,,,,,,,
52,በረት,ወለደ,አለ,ደነቀ,አነሳ,ተናገረ,እውነት,አየነው,cnj,አለም,ውድ,ቦታ,ህንጻ,ወለደ,ክርስቶስ,ምን,ምን,ሰው,አእምሮ,ደረሰ,ተቻለ,ትህትና,ጥግ,adv,,,,
53,ቴሌኮም,በጀት,አመት,አጋማሽ,እቅድ,ሰካ,ተመለከተ,ሁለት,ቀን,ቈየ,ስጦታ,ደምበኛ,,,,,,,,,,,,,,,,
54,አማራ,አፈነ,አፈነ,ገደል,ቻቻለ,ዘመን,ሞተ,ኢትዮጵያዊ,ኦሮሞ,አለ,መራ,ውጥንቅጥ,ወጣ,ሀገር,አስመሳይ,ነገሰ,,,,,,,,,,,,
55,በግ,ቢራ,ፍራሽ,ያዘ,አልታየ,ሊግ,ገባ,,,,,,,,,,,,,,,,,,,,,
56,ቁንጅና,ቅጥነት,ቁመት,ለካ,ቁንጅና,ጥር,,,,,,,,,,,,,,,,,,,,,,
57,አማራ,ተባለ,ሆድ,ህዝብ,ዲሞክራሲ,ነጻነት,ራስ,ተዳደረ,በላ,ሰው,ልጅ,ገባ,ነገር,ተሳካ,ፈጸመ,ተቻለ,,,,,,,,,,,,
58,ነው,ምን,,,,,,,,,,,,,,,,,,,,,,,,,,
59,አለ,ቀፈፈ,ደረጃ,ጊዜ,ሀገር,ደገመ,እኛ,ጊዜ,ተከበረ,አለ,intrj,ኤድስ,ቀን,ህብረተሰብ,ለውጥ,አቅም,መራ,ቃል,እነብሴ,ሳር,ምድር,ወረዳ,ከበረ,,,,,
60,intrj,እሱ,,,,,,,,,,,,,,,,,,,,,,,,,,
61,ልዩነት,ተቀበለ,ቻለ,ችግር,,,,,,,,,,,,,,,,,,,,,,,,
62,ዛር,ያዘ,ተማረ,ጉዳይ,ሁለት,አመት,ፌዴራል,መንግስት,ፈጠረ,ብሄር,አለፈ,መንግስታዊ,መዋቅር,ጠቀመ,ተካሄደ,ሽብር,,,,,,,,,,,,
63,ጨረሰ,ሰአት,ድረስ,ጐን,ነው,ውነት,ተሸነፈ,እያንዳንዱ,ደቂቃ,ጠፋ,አለ,ምርጫ,እድል,ተጠነቀቀ,ድረስ,ድል,ዲሞክራሲ,ድል,ኢትዮጵያ,,,,,,,,,
64,በለው,ተቃርኖ,እኔ,ጨረሰ,ፊት,ስም,አለ,,,,,,,,,,,,,,,,,,,,,
65,adv,አቢይ,ጠረጴዛ,post,ተንበረከከ,ወላጅ,ይቅርታ,ጠየቀ,ፎቶ,ማናየ,,,,,,,,,,,,,,,,,,
66,ጠበቀ,ሀጢአት,ገዛ,ሀሳብ,ኖረ,ፈለቀ,ቻለ,ነቀዝ,በላ,አእምሮ,ብዙ,ጠበቀ,ያዘ,,,,,,,,,,,,,,,
67,አቶ,ጌታ,አሰፋ,አለ,መታ,ሀገር,ውጭ,ውስጥ,ጠላት,ጠበቀ,ረገድ,ድርግ,ውጤታማ,ስራ,ምስጋና,ቀረበ,ወደደ,ሂደት,ደረሰ,,,,,,,,,
68,ውጪ,ሀገር,ባህል,ገለበጠ,ባህል,cnj,እንዳለ,ተቀበለ,ባህል,ነው,ተወ,cnj,አል,ያዘ,ከልብ,ሳቀ,አለ,ሳተ,ፈረንጅ,እናት,አባት,,,,,,,
69,ቀረጸ,መጣ,ብዙ,,,,,,,,,,,,,,,,,,,,,,,,,
70,ቸሩ,ወርሀዊ,መታሰቢያ,አል,ሰላም,ደረሰ,ደረሰ,ቸር,ክፉ,ጠበቀ,ልብ,ሻ,ፈጸመ,ሀገር,ሰላም,ፍቅር,አንድነት,አደለ,አየ,እለት,ሆነ,,,,,,,
71,ውነት,ወጣ,አብይ,ቀጭን,ትእዛዝ,ገደለ,,,,,,,,,,,,,,,,,,,,,,
72,ባልደራስ,ምክር,ቤት,ዘመቻ,እነማን,,,,,,,,,,,,,,,,,,,,,,,
73,የት,አየ,ውጥእ,,,,,,,,,,,,,,,,,,,,,,,,,
74,intrj,ምሁር,አባት,አለ,ተጨማለቀ,ተደረገ,,,,,,,,,,,,,,,,,,,,,,
75,በር,ፈለገ,ጭራሽ,ቸገረ,,,,,,,,,,,,,,,,,,,,,,,,
76,ጅብ,ቆዳ,ተሰራ,ክራር,ቅኝት,በላ,በላ,መሪ,ወንጀለኛ,ነው,ህዝብ,ከለለ,ቈየ,ጊዜ,አለቀ,ፍርድ,ቀረበ,ጊዜ,ናፈቀ,,,,,,,,,
77,ጎሳ,ክልል,ተባለ,ቫይረስ,ወረሰ,ነበረ,cnj,ዱር,እንስሳነት,ደረጃ,አደገ,ነቀርሳ,ማቀቀ,ናንት,ንቁ,,,,,,,,,,,,,
78,መልእክተኛ,አሉ,ሳበ,ድርግ,ድርግ,ዘገበ,ህይወት,ጎዳ,,,,,,,,,,,,,,,,,,,,
79,እኛ,ደስተኛ,ነው,,,,,,,,,,,,,,,,,,,,,,,,,
80,ደንበኛ,አገልግሎት,ተጠቃሚ,ሆነ,ከልብ,ተመሰገነ,,,,,,,,,,,,,,,,,,,,,,
81,ቤተሰብ,ታደለ,ቤተሰብ,ታደለ,ቤተሰብ,ዘመን,ተባለ,ብላሽ,ድራማ,አየ,ቤተሰብ,,,,,,,,,,,,,,,,,
82,አማርኛ,ፖሊስ,ድርግ,ጠራ,ግለሰብ,መቀሌ,ከተማ,ተገኘ,አወቀ,,,,,,,,,,,,,,,,,,,
83,ጀግና,አዲ,ልጅ,,,,,,,,,,,,,,,,,,,,,,,,,
84,ስምምነት,ዝርዝር,ህዝብ,አወቀ,ኢትዮጵያ,ዘለቀ,ጥቅም,ጐዳ,ረገጠ,ድረስ,ምን,አይነት,ስምምነት,ፈረመ,ጫና,ተደረገ,ስምምነት,ተቀባይነት,ኖረ,,,,,,,,,
85,አህያ,ወሰደ,አለ,,,,,,,,,,,,,,,,,,,,,,,,,
86,ኢትዮጵያዊ,ገደለ,አዘነ,ኰራ,አወቀ,ህዝብ,መጥፎ,ተመኘ,cnj,ጤንነት,ነው,ወደብ,ፈለገ,ፍቅር,ተስማማ,አለ,ሀይል,intrj,አየ,ተገኘ,ኢትዮጵያዊ,አሰረ,,,,,,
87,አደገ,ፈለገ,,,,,,,,,,,,,,,,,,,,,,,,,,
88,አባት,ፈቃድ,ወረደ,ማርያም,እንግዳ,እግዚአብሄር,ንጹህ,ድንግልና,ወለደ,እንስሳ,በረት,ጨመረ,ንግስ,እጅ,ነሳ,ተቀበለ,እናት,ጡት,ምግብ,ለመነ,ህጻን,ደረሰ,,,,,,
89,ደረሰ,ያዘ,መራ,ውል,ጊዜ,ገነባ,መሰለ,ጅል,ተገኘ,,,,,,,,,,,,,,,,,,,
90,ሆነ,ወላይታ,ሶዶ,አራ,ጨረሰ,ቀን,ጉባኤ,ምሽት,አማረ,መልክ,ተጠናቀቀ,ድንቅ,ውበት,ደስታ,,,,,,,,,,,,,,
91,ገና,በአል,ተመለከተ,ደረሰ,መልካም,ምኞት,ገለጠ,ላከ,አጋር,,,,,,,,,,,,,,,,,,,
92,አዲ,ለቀቀ,ጠቀመ,,,,,,,,,,,,,,,,,,,,,,,,,
93,ሞባይል,ካርድ,ከፈለ,ቻለ,እርስ,ደንበኛ,አገልግሎት,ሂሳብ,ከፈለ,ረገጠ,አጭር,ጽሁፍ,መልእክት,ደረሰ,ተመሰገነ,,,,,,,,,,,,,
94,ያሬድ,ሙከራ,ድል,ተገኘ,,,,,,,,,,,,,,,,,,,,,,,,
95,አይነት,ዲቃላ,ንግግር,ማን,ጠቀመ,ኢትዮጵያ,ህልውና,ትውልድ,እጅ,ትውልድ,ዘር,ቋንቋ,ሀይማኖት,ለየ,አጭር,,,,,,,,,,,,,
96,ክቡር,ጠቀለለ,ሚኒስቴር,ሀገር,ረጋ,ኢትዮጵያ,ኢኮኖሚ,አሉታዊ,ተጽእኖ,አደረ,አገጭ,አማረ,,,,,,,,,,,,,,,,
97,አለም,ተጫወተ,cnj,intrj,ጊዜ,እውነቱ,አወቀ,intrj,ቅኝት,,,,,,,,,,,,,,,,,,,
98,አመት,ቈጠረ,አለ,ግብር,ህይወት,ተንጠለጠለ,ማረሻ,ዶማ,በሬ,ፍጥነት,አመት,ጊዜ,መራ,ከተማ,ነዋሪ,ውድነት,ከለበ,,,,,,,,,,,
99,ትእግስት,በቀለ,ዘፈን,,,,,,,,,,,,,,,,,,,,,,,,,
100,አሰበ,ጸሀይ,መሰለ,ኩራዝ,ጣፈ,,,,,,,,,,,,,,,,,,,,,,,
101,ተናገረ,ቀላል,ነው,ኖረ,አማርኛ,ጠጣ,አለ,ፖለቲከኛ,ጠጣ,ገጨ,,,,,,,,,,,,,,,,,,
102,መንግስት,ቃል,አቀባይ,አቶ,ንጉሱ,ጥላሁን,ስራ,እገዛ,ፍቃደ,ለቀቀ,አለባቸው,ህዝብ,ዋሸ,ገደለ,ወንጀል,ቈጠረ,ዜጋ,ውሸት,አጀንዳ,ቀለደ,ቆመ,,,,,,,
103,አብርሀም,ሞተ,አልበም,ሰራ,አወቀ,intrj,,,,,,,,,,,,,,,,,,,,,,
104,በዙ,ምስጉን,አለ,ምስክር,ፈለገ,cnj,,,,,,,,,,,,,,,,,,,,,,
105,ሀገር,በቀል,እውቀት,ተመራማሪ,ይርጋ,ገላ,ተሰኘ,መጽሀፍ,ሀሳብ,ውይይት,ድርግ,,,,,,,,,,,,,,,,,
106,part,አለ,ጾም,ፈታ,ፍትፍት,ፍትወት,ተወራ,አለ,,,,,,,,,,,,,,,,,,,,
107,ተስፍ,ተቀበለ,አባ,ትርጉም,አገልግሎት,ሰጠ,መስመር,,,,,,,,,,,,,,,,,,,,,
108,ፓርቲ,ህጋዊ,ፍቃድ,ውጭ,ዜጋ,አባል,መዘገበ,መንግስት,ፍንግጥ,ፓርቲ,ከሰሰ,,,,,,,,,,,,,,,,,
109,መስተፋቅር,ዋጋ,ገባ,,,,,,,,,,,,,,,,,,,,,,,,,
110,ልደት,ሰሞን,ሰማ,ዜማ,አማረ,መዝሙር,አለ,ዮሴፍ,ሰሎሜ,ሆነ,ኢየሩሳሌም,ኢየሩሳሌም,ኢየሩሳሌም,ሆነ,አምላክ,ወለደ,,,,,,,,,,,,
111,ኦሮሞ,ነው,አዳማ,አምቦ,አየ,ልዩ,ጥቅም,ተባለ,ፍጹም,ኦቦ,ዳውድ,ኢብሳ,,,,,,,,,,,,,,,,
112,መንግስት,ቀደመ,ተግባር,ዜጋ,ደህንነት,ረገጠ,ተማረ,አስቸኳይ,ፈታ,,,,,,,,,,,,,,,,,,,
113,ዘበተ,መጠጠ,አለ,ቃል,ቀድሞ,አባት,ዘመን,ፊት,አለም,ፈጠረ,ጴጥሮስ,,,,,,,,,,,,,,,,,
114,ለማ,መገርሳ,ትናንት,ስራ,አገር,ሄደ,ለመደ,መስመር,ገባ,ሞከረ,ከለከለ,ከተራ,ሰፈረ,ተራ,ያዘ,ሰፈረ,ድርግ,ወረደ,,,,,,,,,,
115,አልበም,ደረጃ,አወቀ,አቦነሽ,ስራ,ባላገር,ጉራጌ,ደሳለኝ,አለ,ስራ,ወጣ,ስራ,,,,,,,,,,,,,,,,
116,ቀላል,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,ተወ,በላ,አለ,ኦሮሞ,የዋህ,አመት,ገዛ,አይነት,ቃል,ተናገረ,ቃመ,ተግባር,cnj,ሀሳብ,adv,ስልጣን,ያዘ,ኢትዮጵያ,ህዝብ,,,,,,,,,
118,አለ,ተጨነቀ,intrj,ልሙጥ,ሽሮ,ወደደ,አለ,ቦዘ,,,,,,,,,,,,,,,,,,,,
119,ራስ,መንግስት,ጠራ,አራት,ኪሎ,ዘረኛ,ስብስብ,ስልጣን,እድሜ,ጥቂት,ቀረ,ህገወጥ,ቡድን,ስልጣን,ለቀቀ,አሁን,ደንብ,ገመተ,ተቻለ,ፖለቲካ,,,,,,,,
120,መሀል,አገር,ትግራይ,ፍቅር,ልዩ,ውነት,አለ,ቀን,ኑሮ,ሰላም,ቀውስ,ገጠመ,ትግራይ,ህዝብ,ጣመ,ለውጥ,ጣመ,አፈነ,ቀረ,ቀና,ፍቅር,,,,,,,
121,አብሽር,ትንሽ,ላላ,ጨዋታ,,,,,,,,,,,,,,,,,,,,,,,,
122,ሽብር,ተግባር,ክልል,ሄደ,ጥፋት,ፈጸመ,ይፋ,አወገዘ,ተግባር,ጠቀሰ,ሽብርተኛ,ከለላ,ተበዳይ,ከተማ,ሙስሊም,አሰረ,,,,,,,,,,,,
123,ተሰራ,ታሪክ,ኰራ,ደገመ,ሰራ,cnj,ወደደ,ሰው,ሆነ,እስልምና,ተቀበለ,ኢትዮጵያ,ንጉስ,ኰራ,አሁን,cnj,አዲ,መጣ,ደነገጠ,እምነት,ቀየረ,ገረመ,,,,,,
124,ሰአት,ገባ,አመለጠ,ሰሞን,ቀጠለ,ነበረ,አውስትራልያ,ጥቅጥቅ,ደን,ዝናብ,ዘነበ,ጀመረ,ሰማ,ሌላ,አዲ,አለ,ረባ,አለ,,,,,,,,,,
125,ሙስና,ገለጠ,አነስተኛ,ገንዘብ,መሬት,ለቀቀ,ህይወት,ነገር,መጠነ,ሀገር,ጠቀመ,ጉዳይ,መሬት,ኖረ,,,,,,,,,,,,,,
126,ጥንት,ላቲን,ጻፈ,መጽሀፍ,እኔ,አሁን,ባእድ,ቋንቋ,ባእድ,ሀገር,ጻፈ,ቀረ,ራስ,ቋንቋ,ጻፈ,ድግት,ልክ,አባ,ተስፋስላሴ,ሞገስ,,,,,,,,
127,ተራ,ትርጉም,ሌላ,ነፈሰ,ምሁር,እኩል,ቈጠረ,ረገጠ,ገዛ,አለ,ተጋዘ,ፍትህ,ቆመ,አለ,ኦሮሞ,እስር,ቤት,ታሪክ,ተናገረ,,,,,,,,,
128,እግር,ዘረጋ,ጠረገ,ሰው,አይነት,ህሊና,ብር,ስሜት,ልብ,ሰበረ,,,,,,,,,,,,,,,,,,
129,አማራ,ዩኒቨርስቲ,ተማረ,ተመለከተ,ጥር,ዘገበ,ተመሰገነ,,,,,,,,,,,,,,,,,,,,,
130,እሱ,አየለ,adv,ፖለቲካ,ግኝ*,ከባድ,ሚዛን,,,,,,,,,,,,,,,,,,,,,
131,አለፈ,ጠየቀ,መስፈርት,ቦታ,ብቁነት,ምን,ረገጠ,ብይ,ጠማ,በጎ,ፈቃድ,አለ,,,,,,,,,,,,,,,,
132,ደደብ,ኢትዮጵያ,መራ,ሆነ,ባእድ,ሀገር,ቋንቋ,እግድ,ነው,ቀኝ,ተገዘተ,ቋንቋ,ባሪያ,ሆነ,አወቀ,ገረመ,ቅኝ,ተገዘተ,አወቀ,,,,,,,,,
133,መንግስታዊ,መታ,ወገን,ፖለቲካዊ,ጨዋታ,ቆመ,ህይወት,መለሰ,ጠየቀ,አቶ,ንጉሱ,ጥላሁን,አማራ,ህዝብ,እቃ,ተጫወተ,ድርግ,ቀጠለ,,,,,,,,,,
134,አሁን,ድረስ,ረገጠ,ለም,አማርኛ,ለቀቀ,ለቀቀ,አሁን,አወቀ,,,,,,,,,,,,,,,,,,,
135,ኢትዮጵያ,ሰብአዊ,መብት,ኮሚሽን,ኮሚሽነር,ዶክተር,ዳንኤል,በቀለ,ተማረ,ግልጽ,ማብራሪያ,ሰጠ,ጠየቀ,,,,,,,,,,,,,,,
136,አዋሽ,ባንክ,ደበነ,ድንገተኛ,ጠቅላላ,ጉባኤ,ህዳር,አመመ,አዲ,አበባ,ሆቴል,,,,,,,,,,,,,,,,,
137,ጨለማ,ጨረቃ,ሌሊት,ዳንስ,ልጅ,ጨለማ,ጌታ,ጥልቅ,ተመለከተ,እውስ,እርስ,ተገኘ,ስቃይ,ተሰቃየ,,,,,,,,,,,,,,
138,እግር,አከለ,ምርጥ,,,,,,,,,,,,,,,,,,,,,,,,,
139,ጀመረ,ቻለ,ሰጠ,cnj,በቃ,አሁን,ቅስቀሳ,ጀመረ,አሉ,ተባለ,ውይይት,ንግግር,ህዝብ,መረጠ,አለ,ዘመቻ,cnj,ጀመረ,ተቻለ,ምርጫ,,,,,,,,
140,አለ,ችግር,አነሳ,ተሻለ,ምሳሌ,ዛር,ሙስሊም,ማረ,መሰረተ,ልማት,ደረሰ,ተደረገ,ፖለቲካ,ተሳተፈ,adv,,,,,,,,,,,,,
141,ጩኸት,ገነፈለ,ወንጀል,ጩኸት,መላ,ፍጡር,ጩኸት,ፍትህ,ኖረ,ህግ,ክልል,ደረጃ,ይፋ,ጣሰ,ተቃወመ,ደረሰ,ማንነት,ልብ,አለ,ሀዘን,ቅሬታ,ንዴት,ገራ,,,,,
142,ሞጣ,ደረሰ,ጉዳት,ሙስሊም,ክርስቲያን,አለ,አማራ,ህዝብ,ውጥእ,አማራ,ክልል,እስልምና,ጉዳይ,ምክር,ቤት,ሰብሳቢ,ሰይድ,እንድሪስ,አማራ,ቀረበ,ተናገረ,,,,,,,
143,adv,ሳበ,ብርሀን,ጠላ,ፉክክር,ምርጫ,ተሸነፈ,ስልጣን,ተቈጣጠረ,አስቻለ,intrj,መሰለ,ውነተኛ,ሆነ,ጀመረ,መረጠ,ልዩነት,ጠበበ,አበረ,ሰራ,ሞከረ,,,,,,,
144,ኢትዮጵያ,ከፍተኛ,ሊግ,ጨዋታ,ውጤት,አዲ,አበባ,ከተማ,ከለከለ,,,,,,,,,,,,,,,,,,,
145,ኢትዮጵያ,ብሄራዊ,ምርጫ,ቦርድ,መራ,ዛር,ሰጠ,ምላሽ,ቅስቀሳ,ጀመረ,ድርግ,ፓርቲ,ቦርድ,ጠራ,አለ,አመመ,ተወዳጀ,,,,,,,,,,,
146,ዘመን,አሰረ,አምላክ,ቀለደ,እኛ,ቻለ,መድረክ,,,,,,,,,,,,,,,,,,,,,
147,አፋር,ወንድ,እህት,ዛር,ዘመናዊ,መንደር,ግንባታ,መሀል,አዲ,አበባ,ጎተራ,ከበበ,,,,,,,,,,,,,,,,
148,ልጅ,አለ,,,,,,,,,,,,,,,,,,,,,,,,,,
