,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
33,ግን,ትልቅ,ሰይጣን,ደባርቅ,ትል,ሃ,ሃ,,,,,,,,,,,,,,,,,,,,,,,,,
34,አካል,ግን,ወከለ,አድራሻ,ስልጣን,ደረጃ,አወቀ,ግልጽ,,,,,,,,,,,,,,,,,,,,,,,,
35,ይች,ከኢራኑ,ዘመቻ,መሸ,መጣ,ምክኒያት,,,,,,,,,,,,,,,,,,,,,,,,,,
36,ቀራኒዮአምቦ,መውጫ,መንገድ,ካዲስኮ,ቀለም,ፋብሪካክራውን,ሆቴል,አለምጸሀይ,ሸጎሌ,መንገድ,ፕሮጀክት,ዛሬ,መረቀ,ፕሮጅከቶች,ተጠቃሽ,,,,,,,,,,,,,,,,,
37,ጅቡቲ,ገዛ,ቻለ,ገንዘብ,መጠን,ገዛ,እዳ,ህዝብ,ተሸከመ,ቀደም,ተሸነፈ,ድርጅት,ውድቅ,ተደረገ,,,,,,,,,,,,,,,,,,
38,ጮርናቄ,እሰማለሁብዙዎች,በላ,አያለሁከዛሬ,"""","""",ማነው,ጮርናቄ,,,,,,,,,,,,,,,,,,,,,,,,
39,ድርግ,ህዝባዊ,ውይይት,ተደሰተ,እዚ,ፊንፊኔ,ያላቹ,ነገ,በሚሊንየም,አዳራሽ,“,”,ርእስ,ተዘጋጀ,ህዝባዊ,ውይይት,ተገኛኘ,,,,,,,,,,,,,,,
40,የህወሀት,ላከ,ነበረ,ህወሀት,ስራ,ልምድ,ሰጠ,ቀጠረ,ሽግ,ወ,,,,,,,,,,,,,,,,,,,,,,
41,አር,አድዋ,ፓርክ,ሰራ,ቢሊየን,ብር,ውል,ወሰደ,ቻይና,ጂያንግሱም,ጨረታ,ግልጽነት,ተገኘ,ውል,,,,,,,,,,,,,,,,,,
42,ሊግ,ግልጽ,እቅድ,ቡድን,ቀላል,ወሰደ,ብዙ,ቡድን,ቆመ,ኳስ,ከለከለ,የማርኪንግ,ሲስተም,ግራ,ግብእ,ነውሱራፌል,ኳስ,መታ,ነገደ,ድንቅ,ደረሰ,ቻለ,ብዙ,ተጫወተ,አሉ,,,,,,,
43,ዞረ,ረገጠ,ጾታ,ረገጠ,ጠየቀ,ጠበቀ,,,,,,,,,,,,,,,,,,,,,,,,,,
44,ሾርት,ሚሞሪ,ግልጽ,አወቀ,በላ,ወንበዴ,ንቀት,ጥግ,የትየሌሌ,,,,,,,,,,,,,,,,,,,,,,,
45,እንዴ,ለካ,ዝም,ብየ,ወያናዎችና,ልጆጃቸው,የነብርኩ,ኤርትራ,የባህርዳርጎንደርኣዲስ,ኣበባኣዋሳባጭሩ,የኢትዮጲያ,ኢሱ,ጠራ,ፕረሲደንት,ህዝብ,ትላለ,,,,,,,,,,,,,,,,
46,ቀጭን,ትእዛዝ,ሰጠ,ረገጠ,ሲዳማ,ብሄር,ክልል,ጥያቄ,ህጋዊ,ፖለቲካዊ,ሂደት,አለፈ,በህዝበውሳኔ,ቋጨ,ድረስ,እልባት,ተገኘ,ጠራ,ማነቆ,,,,,,,,,,,,,
47,እርግጥ,ምርጥ,ግን,ዛገ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,አመት,በኢህአዴግ,ዘመን,አመት,ኖረ,አመት,ጨመረ,ደረሰ,አረ,ፈጣሪ,ተታረቀን,,,,,,,,,,,,,,,,,,,,,
49,እስክንድር,አገር,ቤት,መለሰ,ግርግር,ፈጠረ,"""የመንግስት",ጸጥታ,ሀይል,"አደረጉኝ""",ቀረረ,ማማ,ትርፍ,,,,,,,,,,,,,,,,,,,
50,ኢራን,ጠንካራ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,ቀን,ይቅርታ,ለመነ,ህመም,ተስፋ,ቈረጠ,ተወ,ቀን,መጣ,ክፉ,መጣ,አመመ,ህይወት,ጨረሰ,ቀስታ,አሳዛኝ,ልጅ,ጨረሰ,ወሰደ,,,,,,,,,,,,,
52,ፌክ,አካውንት,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,ደሞ,አዋቂ,ዳይፐር,ደሞ,ሰራ,ዛተ,ሴትዮ,ሸለመ,ትንሽ,ቀረ,ተጽተሽ,አሉ,ምነው,ግን,አይደበርም,,,,,,,,,,,,,,,,,
54,ተመዝጋቢ,ብዛት,ጥራት,ረጋ,ብል,ጥንቃቄ,ተራመደ,ተዋከበ,,,,,,,,,,,,,,,,,,,,,,,,
55,"""ህወሀት",ከኦፌኮ,ውህድ,ገባ,ደረሰ,"ተገለጸ""",ኦቦ,በቀለ,ገረባ,ፍቃደኛ,ሰማ,,,,,,,,,,,,,,,,,,,,,
56,ቀበሌ,እንደዛ,እያካበዳቹ,መርፌ,ወጋ,በለጠ,ተጸጸተ,ረጋ,,,,,,,,,,,,,,,,,,,,,,,,
57,እነ,ቢጤ,ለማ,የኢትዮጵያዊነት,ስሜት,ዘመቻ,ጀመረ,ውይ,ውይ,መሀል,አገር,ሰወች,ኦሎምፒክ,በጂምናስቲክ,ሰካ,ገባ,ምላስ,ጀመረ,,,,,,,,,,,,,,
58,ሸጌ,ብዙአየሁ,ደረሰ,አበበ,ብርሀን,ምርጥ,ስራ,,,,,,,,,,,,,,,,,,,,,,,,,
59,ዩኒቨርሲቲ,ረጋ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,ውትፍ,ነቀለ,አሪፍ,የሰጠኻው,ራስ,ገነባ,ሮጠ,ውሸት,ያዘ,,,,,,,,,,,,,,,,,,,,,,,
61,ጊዜ,አወቀ,ቋንቋ,ገባ,አወቀ,ብጥብጥ,ድርግ,ኧረ,ተሻለ,ቋንቋ,ማረ,የቴሌ,ገረመ,,,,,,,,,,,,,,,,,,,
62,ደነቀ,ሰደበ,ተመለከተ,ላይክ,ድርግ,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,ሟርት,ዳጊ,ብርቅዬ,የአዱ,ገነት,ልጅ,ግርም,ስለሸገር,ልጅ,ተወራ,ተንጨረጨረ,,,,,,,,,,,,,,,,,,,,,
64,ፖለቲካ,እውቀት,ደሀ,አድርባዮች,ስብስብ,ዘመን,ቈየ,የገዥው,ፓርቲ,ሚና,እጅጉ,ከፍተኛ,ሆን,ፍትህ,ትምህርት,ፖለቲካ,የሚድያ,ተቋም,አቅም,ደከመ,ተደረገ,ከፍተኛ,ዝቅጠት,ዳረገ,,,,,,,,
65,በአርማጭሆ,ህጻን,ሾፌሮችን,በማገትና,ገንዘብ,ጠየቀ,ሰላም,ደፈረሰ,ተንቀሳቀሰ,ግለሰብ,ቁጥጥር,ስር,ዋሉ,,,,,,,,,,,,,,,,,,,
66,አማራ,ክልል,የመጅሊስ,ድብብቆሽ,ጨዋታ,በዛ,ሞጣ,ሙስሊም,ከፍተኛ,ሰጋ,ቸኰለ,እገዛ,ፈለገ,ሰአት,ዝምታ,መረጠ,ገባ,,,,,,,,,,,,,,,
67,እናት,ጫት,ጋጠ,ከብትነት,ጠቀመ,ጎበዝ,,,,,,,,,,,,,,,,,,,,,,,,,,
68,መርከብ,አውሮፕላን,ሰረቀ,ሰፈር,ምስኪን,ተገኘ,ተስፋ,ቈረጠ,,,,,,,,,,,,,,,,,,,,,,,,
69,እሳት,ገባ,ጎማ,እኮ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,ናደ,ህዳሴ,ግድብ,ሰራ,ሰላም,ሰፈነ,አየ,ደስ,ህውሀትና,ግብጽ,መንግስት,ብግን,አየ,ደስ,,,,,,,,,,,,,,,,,,
71,ሀገር,ቅን,ተወ,ዶክተር,በላ,ዉጭ,አመነ,,,,,,,,,,,,,,,,,,,,,,,,,
72,ሌባ,ጣለ,ከፈለ,ነገረ,ፈጸመ,ተጋ,ጸለየ,,,,,,,,,,,,,,,,,,,,,,,,,
73,አስተርዮ,ቃሉ,ግእዝ,ቃል,ትርጉሙመታየት,ገለጠ,ነውጥር,ቀን,ነፍስ,ስጋ,ለየ,ደመና,ነጠቀ,ገነት,ገባ,ሰማይ,ምድር,ሰጠ,ጸጋ,ክብር,,,,,,,,,,,,
74,“አንቺም,ሀይማኖት,ሀይማኖት,ኖረ,ቻለ,ጠበበ,ቤቴ”,,,,,,,,,,,,,,,,,,,,,,,,,
75,እንዴ,አገር,ምድር,ክትክታ,እንዴ,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,የጅዋር,ታሪክ,በቃ,በተለይ,ከህውሃት,ገባ,ጋብቻ,ግልጽ,ወጣ,ቀላቀለ,መድረክ,ብርር,ለት,ኦሮሞ,ህዝብ,ገንዘብ,እውቅ,ጥማት,ነቃ,,,,,,,,,,,,,
77,በቃ,ጅማ,ዲፋክቶ,ክለብ,መሰረተ,እኮ,ቀረ,,,,,,,,,,,,,,,,,,,,,,,,,
78,ኡስታዝአቡበከርአህመድ,"""ካደረጉት",ክፋት,በለጠ,አመመ,ንቀት,ብዛት,ፈጸመ,ጥፋት,ሙስሊም,ፈጸመ,"ነው""",እውነት,አማ,,,,,,,,,,,,,,,,,,
79,አበበ,ገላ,ዘመን,ይሄን,ጀግና,ጀግና,ሸተተ,ነበረ,,,,,,,,,,,,,,,,,,,,,,,,
80,ቀን,ይቅርታ,ለመነ,ህመም,ተስፋ,ቈረጠ,ተወ,ቀን,መጣ,ክፉ,መጣ,አመመ,ህይወት,ጨረሰ,ቀስታ,አሳዛኝ,ልጅ,ጨረሰ,ወሰደ,,,,,,,,,,,,,
81,አንች,ልጅ,ጭንቅላቱንየእኔን,አነበበ,ጻፈ,ተባ,እኮ,የምትመስይው,ጉድ,ለማንኛዉም,,,,,,,,,,,,,,,,,,,,,,
82,ባለስልጣን,ስራ,ወደደ,ሰአት,ወደደ,ገለጸ,ጠቀለለ,ሚኒስትር,እድሜ,ምንዛሪ,ችግር,ረባ,ረባ,ባንኮክ,ሄደ,,,,,,,,,,,,,,,,,
83,ሰጠ,በቀር,ስልጣን,ነበረ,ምክንያት,ተሰለፈ,ሰጠ,ሀጢአት,ታላቅ,ሀጢአት,,,,,,,,,,,,,,,,,,,,,,
84,አጋንንት,ወደቀ,ጠራ,ልዩ,ክብር,አምላክ,ሰጠ,ነይ,መለሰ,ግቢ,ቤት,ህይወት,ጽዋ,ያዘ,ለነብሳችን,ደረሰ,ደረሰ,ቅድስት,አርሴማ,እናት,በያለንበት,,,,,,,,,,,
85,እንደሆን,አወቀ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,የኢዜማ,ካድሬዎች,ፖለቲካ,ሚገባው,ለም,ምትሉት,ግን,የምር,ለትዝብት,ጣለ,ኧረ,ቀስ,,,,,,,,,,,,,,,,,,,,
87,እኮ,ናደ,ሽንት,መጣ,ብድግ,አሉ,,,,,,,,,,,,,,,,,,,,,,,,,,
88,ኢትዮጵያዊ,መድሀኒት,ኢየሱስ,ክርስቶስ,ልደት,አል,ሰላም,ደረሰ,ደረሰ,አሜን,,,,,,,,,,,,,,,,,,,,,,
89,ባህል,ባህል,ምግብ,ባህል,ባሰ,ባህል,ተገለገለ,እቃ,,,,,,,,,,,,,,,,,,,,,,,,
90,ወይጉድ,በላ,ማረ,መሰለ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,እረ,መለስ,ደገመ,መጠጠ,ጉድ,ግን,ዘንድሮ,ሃይ,,,,,,,,,,,,,,,,,,,,,,,,
92,ብልጽግና,ጽንሰሀሳብ,ቁሳዊ,መንፈሳዊ,ስርአታዊ,ከፈለ,ዳንኤል,ክብረት,ሰውነት,ክብር,ተገኘ,ቻለ,ነጻነት,ረገጠ,ብልጽግና,መድረሻ,አቅጣጫ,ያዘ,ኡባንግ,ሜቶ,,,,,,,,,,,,
93,ጀመረ,ገዥ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,ሆድ,ባባ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,በለው,ጭራሽ,ግፍ,በደል,ሰራ,አበረ,ተባበረ,ልክ,,,,,,,,,,,,,,,,,,,,,,,,
96,አበረ,ሰማ,ፈለገ,ገለጸ,ቃል,አጣ,አወቀ,ትክክል,ሰማ,ቁስል,በለጠ,ደማ,ዝምታ,ወርቅ,እኮ,ዝም,ገደለ,,,,,,,,,,,,,,,
97,ነገ,ነዋ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,ረዳ,ነኝቀጭን,ነኝየደረቴ,አጥንት,ያምራልቆዳዬ,ንጹህ,ነውአይኔ,ያምራልስለዚህ,ድረስ,አለም,ፋሽን,ኢንዱስትሪ,ባንኳኳ,ከፈተ,ቻለ,አለኝወደፊ,,,,,,,,,,,,,,,,
99,ግን,በአል,ገበያ,ቀነሰ,ኖረ,ሀገር,ጨመረ,,,,,,,,,,,,,,,,,,,,,,,,,
100,እን,ደ,ራስ,አይድልም,ጀመረ,ስው,ወደደ,ውሽታም,,,,,,,,,,,,,,,,,,,,,,,,
101,እቃ,ገና,ሳምንት,ልደት,ቀን,መጣ,ዘመረ,,,,,,,,,,,,,,,,,,,,,,,,,
102,ልክ,ግን,ተሸበረ,መንግስት,ፈለገ,ህገመንግስቱ,ሰራ,,,,,,,,,,,,,,,,,,,,,,,,,
103,ግልጽ,አቋም,ህወሀት,አሀዳዊዉን,ብልጽግና,ቀላቀለ,ለህብረብሄራዊ,ፌደራሊቶቹ,ፖለቲካ,ካምፕ,ግብአት,መሰለ,,,,,,,,,,,,,,,,,,,,
104,ቅንነት,ድንጋይ,ወገረ,ወንጀል,ቅጣት,ፈጸመ,ገባ,በሸሪአው,ህግ,ገለጸ,ለማንኛው,ቻው,,,,,,,,,,,,,,,,,,,,
105,"""እንግዲህ",ወንድም,ሆይ,ሰውነት,እግዚአብሄር,ደስ,ተሰኘ,ህያው,ቅዱስ,መስዋእት,ድርግ,ቀረበ,እግዚአብሄር,ርህራሄ,"እለምናችኋለሁ""",ሮሜ,,,,,,,,,,,,,,,,
106,ጨረሰ,ወ,ጠየቀ,ተማረ,እርስ,እርስ,አየ,ሁዋላ,ዞርው,ሱሪ,ዝቅ,ድርግ,ሰላ,,,,,,,,,,,,,,,,,,,
107,ሞጣ,ወገን,ንግድ,ሱቅ,ተቃጠለ,ባዶ,እጅ,ሜዳ,ቀረ,መንግስት,ተቋቋመ,ገባ,ዝም,መፍትሄ,,,,,,,,,,,,,,,,,,
108,ስለታገቱት,ልጅ,መረጃ,ገራ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,መልካ,ካልዋሸከሁለት,ሳምንት,ቡሁዋላ,ጎንደር,መልክ,ሰማ,,,,,,,,,,,,,,,,,,,,,,,,,
110,ወደደ,ዳኒ,በዛ,ውይ,ማረ,ቀረ,ባረከ,እህምሮ,እድሜ,ጤና,ለየ,,,,,,,,,,,,,,,,,,,,,
111,ቤዛ,ኩል,አለም,ዮም,ተወልደ,አለሙ,ቤዛ,ዛሬ,ወለደ,ልደት,ቅዱስ,ከተማ,በላልይበላ,ቤዛ,ኩል,በቤተ,ጊዮርጊስ,ዋዜማ,ደረሰ,,,,,,,,,,,,,
112,ረዳ,ገለበጠ,በጠበጠ,አበረ,ኖረ,ባህል,በጠበጠ,ጣለ,አበረ,ኖረ,ጭራሽ,አቀፈ,አለነ,መሀል,በላ,ለየ,ፈለገ,ጠቀመ,,,,,,,,,,,,,,
113,መታ,ጌታ,ትዝ,ግን,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,ህግ,እኮ,ሰራ,ትኬት,ቈረጠ,አመት,አመት,ጠፋ,ደጋፊ,ሞላ,ተባለ,መለሰ,,,,,,,,,,,,,,,,,,,,
115,ትናንት,ሂርና,ፕሮግራም,ተካሄደ,ከፍተኛ,አመራር,ተቀበለ,ድርግ,አመራር,ዛሬ,ሀረር,ተገኘ,ሰማ,ፕሮፌሰር,መረራ,ጉዲና,አቶ,ጃዋር,,,,,,,,,,,,,,
116,ግብእ,ራስ,ጉዳይ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,አስቸኳይ,ሂሳብ,ገባ,ተደርጉ,ሪፖርት,ተደረገ,አዝዘናል,አራት,ነጥብ,,,,,,,,,,,,,,,,,,,,,,,
118,ገረመ,የጋሎቹ,ተንጫጫ,እንዴ,ኢትዬጲያን,እኮ,ግል,ንብረት,አረጋችሆት,ግን,አይነት,ዝንብ,መልስ,ጨዋታዉ,ገና,ጀመረ,,,,,,,,,,,,,,,,
119,ገና,አል,ገበያ,የአቅርቦት,ችግር,ኖረ,ሸማች,ገለጹኢቲቪ,ኖረ,ሸማች,ገለጹዋልታ,አመነ,ግን,ዛር,ዋልታ,አምኛለው,,,,,,,,,,,,,,,,
120,የጆሲ,ሾው,ግን,መዝናኛ,ፕሮግራም,ጠራ,ወገን,,,,,,,,,,,,,,,,,,,,,,,,,
121,ፌስቡኩ,ሁላ,ምርጫ,ቅስቀሳ,ሸተተ,ጀመረ,እንዴ,,,,,,,,,,,,,,,,,,,,,,,,,
122,ስብሰባ,ወግ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,ፈጠራ,ባለሙያ,ማህበር,ህጋዊ,እውቅናን,ተገኘ,መሰረተ,ማህበር,ታህሳስ,ሲቪል,ማህበር,ኤጄንሲ,መዘገበ,ሀገር,ቀፈፈ,ደረጃ,ፈጠራ,ዘርፍ,ቀሰቀሰ,እውቅ,ማግ,,,,,,,,,,,
124,ግራ,ገብ,ተታለለ,ቅልጥ,ዘረኛ,መሀይም,መረጠ,ብይ,አስባለው,አእ,ልዩ,አዋጅ,ወጣ,ክልል,ደረጀ,ህግ,በኮንስቲቱሽኑ,ለም,መሰለ,ባህል,ከተሜ,ቋንቋ,አማርኛ,ማስመዝገበ,ተቻለ,,,,,,,
125,ቈየ,በአትዮጵያ,ሰራ,እንዴ,ሰፊ,ህዝብ,ማህብሎች,ነበረ,ያበዛሬ,አየ,ክልል,እሄን,ማንጸባርቅ,ገባ,ልጅ,ፍጹም,,,,,,,,,,,,,,,,
126,ምትደነቅ,የአድስ,አበባ,ከተማ,ከንትባ,ኢንጂነር,ታከለ,በዝህ,ተደሰተ,በሆነዉ,ስራ,ማገገልህን,ቀጠለ,ራስ,አደቅሃለዉ,ክብር,ምስጋናየ,ይድሬስህ,ደህና,,,,,,,,,,,,,
127,ትክክል,ቤቲዬ,ማህበረሰብ,አይነት,ስብእና,እንዳለ,ዘቀጠ,አየ,"""አዎን",አሰበ,"አይደለንም""",,,,,,,,,,,,,,,,,,,,,
128,ሰውዬ,ስውዬው,ትንሽ,አጥንት,ጣለ,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,“ጌታቸው,አሰፋ,ዜጋ,ኢሰብአዊ,ያዘ,ተቃወመ,የሚያደናቅፉት,እነ,ደመቀ,"ነበሩ""",አቶ,አስመላሽ,ወስላሴ,አይጥ,ምስክር,,,,,,,,,,,,,,,,,
130,ለየ,ጎጠኛውን,አስራት,ወልደየስ,ፎቶ,ፕሮፋይል,ድርግ,አቶ,ቡልቻ,በጎጠኝነት,ስትቸት,ትንሽ,ፋረ,,,,,,,,,,,,,,,,,,,
131,"""ሆቴሎች",የረሰፕሽን,አካባቢ,ጣለ,ሄደ,ልብስ,ደንብ,ለበሰ,እንግዳ,መሰለ,መጣ,ሌባ,ተጠነቀቀ,መልእክት,"አስተላልፍልኝ""",,,,,,,,,,,,,,,,,
132,ውነተኛ,ነዋ,እመብርሀንም,ውሸት,ዜና,ገራ,ወደደ,መሰለ,,,,,,,,,,,,,,,,,,,,,,,,
133,"""የብልጽግና",ጎዳና,ጀመረ,አገር,ክስተት,ጠበቀ,"ነው""",ሲሳይ,አጌና,ጎል,"""ለ",ለውጥ,ነውጡ,"አታንሱ""",ብርሀን,ነጋ,,,,,,,,,,,,,,,,
134,ሰይፍ,ሰፊ,ሀተታ,ጻፈ,ፈለገ,ጋዜጣ,ተቀበለ,,,,,,,,,,,,,,,,,,,,,,,,,
135,ዛሬ,በሶሻል,ሚዲያ,ሀላፊነት,ጐደለ,የምንጸፈው,ጥላቻ,ሴድብ,ውሎ,አድሮ,አገር,አሸናፊ,ተሸነፈ,አፍራሽ,እልቂት,ተከተለ,ደገመ,ደገመ,ገለጸ,ሰሚ,ጠፋ,,,,,,,,,,,
136,ሀገር,ደህንነት,ጠበቀ,ተቋቋመ,ኢንሳ,ራስ,ጠለፈ,በኤመሪካ,የሳይበር,ሞያ,ዶር,ተማርያም,,,,,,,,,,,,,,,,,,,,
137,አቅም,አወቀ,ኖረ,ጥሩ,እናት,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,አማራ,ሚልዮን,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,ህወሀት,አባታዊ,ትግስት,ወጣ,ተገኘ,የህወሀት,ትግስት,ደነቀ,ተቻለ,ዲማ,ነገዎ,ሰሞን,አላማጣ,ከተማ,ትእግስት,ሰላ,,,,,,,,,,,,,,,,
140,እ,እስቲ,ትንሽ,አፍታችው,አያት,ድረስ,ጠራ,ወፍራም,ኩራት,ሰማ,,,,,,,,,,,,,,,,,,,,,,
141,እዛ,በአል,ጠላ,ጠጅ,እሽኮለለ,ላላ,አመት,ዶሮ,ወጥ,በላ,ኰረፈ,መሰለ,አጥንት,ጉሮሮ,ቁጭ,ድምጽ,ተበላሸ,የተፈጠረዉ,,,,,,,,,,,,,,
142,ላከ,ቻለ,ተባበረ,እባካችሁለማማትም,ተዘጋጀ,መልካ,,,,,,,,,,,,,,,,,,,,,,,,,,
