,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
98,ሰላም,ወጣት,ስራ,አጥነት,ምክንያት,እጦት,ተሰቃየ,መሪ,ባይ,ግን,ልማት,መጣ,ዘና,ድግ,ድርግ,ህዝብ,በጀት,ግብዣ,አለቀ,ነወ,ዘንድሮ,በተ,ቢሊዮን_ብር,ድግስ,ወጣ,,,,,,,,,,,
99,ወለጋ,ጉዳይ,“አለባብሰው,ቢያራሱ”,አይነት,“በመንግስት”,በኦነግ,የተረገው,ድርድር,ግልጽ,ነበረ,አካላት,ሰማ,ቻለ,የኦነግ,ሰራዊት,ካምፕ,ገባ,ቀረ,በያለበት,ምሽግ,ያዘ,ተሸበረ,ጀመረ,,,,,,,,,,,,
100,አወቀ,ሀበሻ,ወንድ,ሀበሻ,ሴት,ያዉቃሉ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,ንግግር,ጊዜ,አሜን,ብል,ደከመ,ለሁላችንም,መታ,ሁላችንንም,ኩል,አየ,ሀገር,ጋራ,ገነባ,,,,,,,,,,,,,,,,,,,,,,,
102,ዳር,ቆመ,አየ,ጊዜ,ዳር,ቆመ,አየ,መብት,ተሰለፈ,ሰጠ,የኢዜማ,መሪ,ብርሀን_ነጋ,ፕሮፌሰር,ዛሬ,ነጋ,ቦንገር,ሆቴል,ተናገረ,ስብሰባ,እንደቅጠለ,,,,,,,,,,,,,,,
103,በቃ,መረጃ,ግን,ለእንዳንተ,አይነት,አብይ,ራስ,ወጥቶእኔ,ገደለ,ጨበጨበ,ውጪ,ድርግ,ምክንያት,ፈጠረ,ንጹነት,ትሰብካለ,ሞተ,ቤተሰብ,ደረሰ,ቈረቈረ,መሰለ,,,,,,,,,,,,,,,
104,እርግጠኛ,ፈለገ,ለመደ,ውሸት,ተናገረ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,አዋሽ,ባንክ,የባለአክሲዮኖች,ኛ,ደበነ,ኛ,ድንገተኛ,ጠቅላላ_ጉባኤ,ወሰነ,በላ,ውሳኔዎቸ,ተላለፈ,ባንክ,ካፒታል,ቢሊዮን_ብር,ቢሊዮን_ብር,ኢንድያድግ,ወሰነ,ቦርድ,አባል,ምርጫ,ተካሄዷል,,,,,,,,,,,,,,
106,ብልጽግና,ብልግና,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,ምእራብ,ኦሮሚያ,ተገኘ,ወለጋ_ዞን,ምስራቅ,ወለጋ,ሆሮ,ጉዱሩ,ወለጋ_ዞን,ኢንተርኔት,ስልክ,አገልግሎት,ቈረጠ,አካባቢ,ነዋሪ,ተናገረ,,,,,,,,,,,,,,,,,,,,
108,ጥር,በኮሮና,ቫይረስ_ተጠረጠረ,የላብራቶሪ,ምርመራ,ደቡብ_አፍሪካ,ላከ,ነበረ,ዜጋ,ናሙና,ቫይረስ_ነጻ,ጤና,ሚኒስቴር,ሚንስትር,ዲኤታ,ተናገረ,ኮሮናቫይረስ,,,,,,,,,,,,,,,,,,,
109,ሽሮ,ፍትፍት,ፈለገ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,አቡነመርቆሪዎስ,አመት,ጀመረ,ጊዜ,ተናገረ,አመት,አንዳች,ቃል,አፍ,ወጣ,ቈየ,አቡነ,መርቆሪዎስ,ገና,አል,ምክንያት,ድርግ,ጀመረ,"ጊዜ""",እግዚያብሄርይባርካችሁ,"""የሚል",ቃል,ተናገረ,,,,,,,,,,,,,
111,እንዲህም,ተቻለ,ጔደኛየ,አብርሀ,አየ,"""",ጨቈነ,ነበረ,ጨቌኘህ,ለካ,ጭቁን,"ነበርኩ""",ሳበ,ድርግ,በራ,,,,,,,,,,,,,,,,,,,,,
112,ምርጫ_ጊዜ_ሰሌዳ,ተመለከተ,ቦርድ,ሰብሳቢ,ወሪት,ብርትኳን,ሚዴቅሳ,ቀረበ,ገለጻ,ምርጫ,ቀን,ወሰነ,ህገመንግስቱን,ድርግ,መልክ,ህገመንግስታችን,ንኡስ,አስቀመጠ,,,,,,,,,,,,,,,,,,
113,ስስ,ብልት,መረጠ,ህዝብ,ትኩረት,ተሳበ,የሚያደረጉት,መንግስት,ትኩረት,ሰጠ,አደብ,ገባ,ቻለ,አሰበ,,,,,,,,,,,,,,,,,,,,,,
114,ሰበብ,ድርግ,ጎረቤት,ውድ,ሸጠ,ርካሽ,ገዛ,ፈለገ,ሳን,ፍራንሲስኮ,ዴ,ሽያጭ,,,,,,,,,,,,,,,,,,,,,,,,
115,ኣይይይ,መሬት,ላላ,አማራ,ኣዲስኣበባ,መንግስት,አስመራ,ትእዛዝ,ተቀበለ,እስቲ,ነገረ,ሰውየ,ክፋት,ማ,ሻእብያ,ክናንተ,ባሰ,ሀገር,የሚሰጥክ,አረፈ,ተቀመጠ,,,,,,,,,,,,,,,
116,አጭበርብሮም,ተሸነፈ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
